ID,Question,Answer,Label,Source_Dataset
539g1HipZa4q8coORPOMHwj292,Siapa inisiator peristiwa Gerakan 30 September?,Partai Komunis Indonesia,C,IndoQA-Train
27105B4kNatJgs2HMEX3Qbc-940,"Apa nama aliansi yang dibentuk oleh Jerman, Austria-Hongaria, dan Italia?",Aliansi Tiga.,A,IndoQA-Train
23673tRgiJvkPjfOQH_z0y3o3715,Bagaimana lingkungan masyarakat di sekitar Nabi Muhammad?,terbelakang yang senang dengan kekerasan dan pertempuran,C,IndoQA-Test
5ac557975542993e66e8231c,"Tim mana yang menang di tahun 1939 oleh pemain basket Amerika terkenal dengan nama ""Scat""?",Oklahoma Sooners,C,Hotpot-Validation
15314QMC--BggOkyoE34_Rfc1943,Dimana Mark Lee lahir?,"Toronto, Ontario, Kanada",B,IndoQA-Train
87,Apa yang ditakdirkan bagi Anak cucu Isra'il dalam Kitab?,membuat kerusakan di muka bumi ini dua kali,B,QASiNa
2135JNizCTqBzs-NkJ-0GhnT1405,Mengapa Amerika serikat mencari Osama Bin Laden ?,"mendalangi serangan terhadap menara kembar WTC, New York",B,IndoQA-Train
5ae13f3c5542997b2ef7d168,Arthur Noss adalah penembak untuk komader selama dua teater Eropa pertempuran dalam Perang Dunia II?,Pertempuran Inggris dan Pertempuran Malta,C,Hotpot-Validation
984CNpDqalkISFG_gY2XwD_448,Apa permintaan Soekarno sebelum meninggal?,"meminta agar dirinya dimakamkan di Istana Batu Tulis, Bogor",A,IndoQA-Test
7e87b569623c4885bc463f05526e54bc,Apakah Kleopatra tidak ada dalam catatan resmi sebagai penguasa tunggal Kerajaan?,Tidak,A,IndoQA-Test
2057JTrMpRMQ_nlV6rjSFX2Z1629,Kapanakah Antares tayang perdana ?,30 Juli 2021,B,IndoQA-Train
1435t5gBGAM2so8S89BXRimx590,Di mana sultan terakhir melaka wafat?,"Kampar, Riau, Sumatra",B,IndoQA-Train
1438GBcsCGsIXBK4Ri5BDA7-2136,Proyek proyek besar apa saja yang dilakukan diera Soekarno?,"Gelora Bung Karno, Masjid Istiqlal, dan Monumen Nasional",A,IndoQA-Train
2213gQhJ4zM5EYENYcGQHGTa4060,Bagaimana cara Jokowi berangkat ke sekolah pada masa kecil?,berjalan kaki,A,IndoQA-Train
