ID,Question,Answer,Label,Source_Dataset
7049BWokiTXzBU4iS3lqH3c2870,"Setelah menjadi sersan, Soeharto mendapatkan pangkat apa?",komandan peleton,C,IndoQA-Test
165,Siapa pemenang peperangan antara Bangsa Arab dengan Persia?,Bangsa Arab,A,QASiNa
2671C6-T0tPIF_eRNZCOcYji1050,Di daerah mana dapat ditemukan minyak bumi dan gas alam?,"Sabah, Sarawak, dan Terengganu",B,IndoQA-Train
1740bfOMnm2FzOi__s2X3YUd3583,Siapa yang mengeluarkan proklamasi emansipasi?,Lincoln,A,IndoQA-Test
839Rfna-iwatxiFQqrCYY0U2782,Siapakah pemegang kedaulatan tertinggi di Jepang ?,rakyat Jepang,B,IndoQA-Test
5a7b1a82554299042af8f6cf,Apa daerah kota keempat yang paling padat penduduknya di Republik Irlandia dan memiliki kawasan perumahan Corrib Park?,Galway,C,Hotpot-Validation
2999g-R1b7cOXrVxRNQJEeu63866,Apa alasan Britania Raya menyerang pulau Madagaskar?,kekhawatiran bahwa Jepang mungkin memakai pangkalan di Madagaskar,A,IndoQA-Test
5a7109e95542994082a3e4fa,Kota mana Sean Robert Francis bermain sebagai bagian dari klub paling sukses di Republik Irlandia?,"Tallaght, Dublin Selatan",C,Hotpot-Validation
11638Nq_dIQoWFn79xtu-dd53263,Dari wilayah manakah Marga Habibie berasal?,Kabila,C,IndoQA-Train
1565GCwUFVbdCdhcZ_GOztSL1322,Siapakah presiden RIS ?,Bung Karno,C,IndoQA-Train
2593zX92VD8oSNjdJEyoOd_R2406,Pada tahun berapa Kerajaan Yahuda runtuh?,586 SM,A,IndoQA-Train
88,Siapakah yang dikirim oleh Allah pada saat hukuman bagi kedua kejahatan itu?,hamba-hamba Kami yang mempunyai kekuatan yang besar,C,QASiNa
2389R07UIy-md3maCacU-Hv63671,Apakah sumber hukum syari'ah yang digunakan bersama dengan Al-Qur'an?,hadis,A,IndoQA-Train
723OdNPs-YvxDCGXTe4EPQi2821,berapa banyak produksi beras pada tahun 1984?,"25,8 juta ton",B,IndoQA-Train
1956vw_p35LNB6CkbnIkyRY-2284,Pada tahun berapa Tanjung Harapan Baik ditemukan oleh Portugal?,1488,B,IndoQA-Train
5a77d65055429949eeb29f7b,Berapa banyak spesies kembang sepatu Hawaii tidak memiliki bunga putih?,250,C,Hotpot-Validation
1207HLvv2F6G--J1iG2Sr0GT3136,Apa efek dari kondisi ekonomi yang buruk terhadap dinasi Abbasiyah kedua?,memperlemah kekuatan politik,B,IndoQA-Test
2496IsKGXtB1XHAUH-HYoq6R1791,Apakah terbitan utama PKI ?,Harian Rakjat dan Bintang Mera,C,IndoQA-Train
473,Apa yang menjadi batas di belakang kabilah Aus dan Khazraj?,Hirrah Wabrah,B,QASiNa
5ae4a1875542995ad6573dd2,Nicolau Colaco bermain sebagai pembela di liga profesional pria disponsori oleh perusahaan mana?,Pendekar,C,Hotpot-Validation
1800AHEt4m27Eec8QRYN8CrP3433,Negara mana saja yang warganya paling banyak bertransmigrasi ke Amerika? ,"RRC, India, dan Filipina",A,IndoQA-Train
2063CNHDBJueyaE4leS4xnyJ1610,Apakah nama desa yang terdekat dengan candi Borobudur ?,desa Bore,A,IndoQA-Train
5ac2f1d1554299218029dba4,Apa yang ada di kedua Lithocarpus dan spesies Duranta?,pohon,C,Hotpot-Validation
11583AIKJFgE0UrBCHocpd653277,Apa isi dari jumpa pers tersebut?,Presiden menyampaikan belasungkawa yang mendalam atas wafatnya mantan Presiden RI Kedua Haji Muhammad Soeharto,B,IndoQA-Train
542GY7OjClDyzNlztIK-dOQ282,Nama lain Indonesia yang dicetuskan oleh patih Gajah Mada,Nusantara,A,IndoQA-Train
17575vjW6q5vpBlTdRADa0J73533,Dimanakah letak Gunung McKinley?,Alaska,A,IndoQA-Train
5ab5467e554299494045ef5e,Kahn Trussed Bar untuk balok dan kolom diciptakan oleh seorang pria dibesarkan di apa kota AS?,Detroit,C,Hotpot-Validation
2681RVH7HXkHR05ejdYsqsI41018,Apa nama lain dari Sekolah Menengah Kebangsaan?,National Secondary School,C,IndoQA-Train
5a820f2c55429926c1cdae17,Apakah Matthew Good Band dan Ruang Tidur memainkan jenis musik yang sama?,ya,C,Hotpot-Validation
c68c551858d14d02851f6ee0ae58cf84,Apakah Daendels melawat sistem kerja paksa dan merubah sistem yang sudah ada?,Ya,A,IndoQA-Train
19770LeKmoO1LDXeQ8TwqLz32239,Apa awal nama dewan yang dibentuk terdiri dari penasihat dan menteri?,Divan,B,IndoQA-Test
1773wQV9nuZZSk8BnMoB0VXa3491,Dimanakah kantor kedutaan asing negara-negara lain di Amerika?,"Washington, D.C.",A,IndoQA-Test
2456ZhTInJHAEurcPqVh00hM1881,Dimanakah biasanya agama tradisional dianut ?,"suku pedalaman di Asia, Afrika, dan Amerika",B,IndoQA-Test
628A_ztdoD85Pm7Hd6Uv2TF32,Apa yang dibicarakan dalam rapat PPKI pada 16 Agustus 1945?,segala sesuatu yang berhubungan dengan persiapan Proklamasi Kemerdekaan.,C,IndoQA-Train
1636U9fgDPC8e9WhnQASL0AZ1142,Berapakah pertumbuhan Singapura pada tahun 2006 ?,7.9%,C,IndoQA-Train
2376Yb5AiC3i4WBM8VzRNZY73696,Ke kota manakah Nabi Muhammad berhijrah pada tahun 622?,Yatsrib,C,IndoQA-Test
908xdqRRkv-zVIZg3ud9_Ve2600,Siapakah Menteri Panglima Angkatan Darat Indonesia ?,Letnan Jenderal Soeharto,B,IndoQA-Train
94,Apa yang dilakukan Nebukadnezar terhadap Masjid Aqsha?,menghancurkan,A,QASiNa
5abc184a5542993a06baf863,Siapa yang menyutradarai film drama Korea Selatan tahun 2015 yang dibintangi Hwang Jung-min?,Lee Seok-hoon,C,Hotpot-Validation
27105B4kNatJgs2HMEX3Qbc-940,"Apa nama aliansi yang dibentuk oleh Jerman, Austria-Hongaria, dan Italia?",Aliansi Tiga.,A,IndoQA-Train
2589xXJabxuTAbaSikLKRb-g2417,Pada resolusi berapa PLO mengakui hak Israel untuk eksis dalam damai?,resolusi Dewan Keamanan PBB 242 dan 338,B,IndoQA-Train
366,Siapa yang mula-mula sekali masuk Islam?,Abu Bakar As Shidiq,C,QASiNa
24806_hUlPzuzNABBJgXS2Ly1827,Berapakah target lapangan pekerjaan yang tercipta di RRT dalam 10 tahun kedepan ?,270 juta pekerjaan,B,IndoQA-Test
5add56a85542992200553abe,"Kota New South Wales mana yang lebih besar, Port Macquarie atau Bonny Hills?",Port Macquarie,C,Hotpot-Validation
1157dystjMPwLIVRr1mKQuwa3280,Pada tanggal berapakah mantan Presiden Soeharto meninggal dunia?,27 Januari 2008,A,IndoQA-Train
656YB8T90k-pyOHOCeclaxG2988,Berapa limit file yang dapat diupload menggunakan browser versi terbaru?,20 GB,B,IndoQA-Train
843zyenQsDbdyEDKorOOEer2770,Siapakah Keponakan laki laki dari Kaisar Naruhito ?,Kaisar Akihito,C,IndoQA-Train
211,Kondisi apa yang menjadi pemicu dari pemberontakan pasca perang?,Rakyat kelaparan,C,QASiNa
2968C7LlqUnuO2Rpg_LoWMAj3937,Kapan Jerman menganeksasi Austria?,Maret 1938,A,IndoQA-Train
194,Kapan terjadi pengepungan Konstantinopel oleh bangsa Arab untuk pertama kalinya?,674-678 M,B,QASiNa
2987jq09CSEi-lBZSSYtX9tj3892,Apa tujuan Jerman menunda serangan dan mengalihkan Satuan Panzer ke-2?,membantu tentara yang maju melintasi Ukraina tengah dan Leningrad,B,IndoQA-Train
5a8ceb7a554299441c6b9f7b,John Seasock adalah pengemudi truk monster profesional yang terakhir mengendarai truk yang disponsori oleh sebuah kantor pusat di kota mana?,Roanoke,C,Hotpot-Validation
37,Ayat-ayat apa saja yang menjelaskan tentang Isra' Mi'raj?,"Q.S. Bani Isra'il Ayat 1, dan Q.S. An-Najm Ayat 13 sampai 15",B,QASiNa
26862KtqVf6aUK3bcskyPun21003,Bagaimana cara Malaysia menambahkan pilihan kurikulum nasional?,memiliki sekolah internasional,B,IndoQA-Train
5a81df7d55429926c1cdadaa,Babak KO Liga UEFA tahun 2014 mengarah ke final musim ke-23 sejak berganti nama dari apa?,European Champion Clubs' Cup,C,Hotpot-Validation
1587GKW8NX3dkLWoOc6aJ86v1270,Apakah fungsi kepala staf umum TKR ?,sebagai koordinasi,B,IndoQA-Train
2111pGUGejfL5WACso3SLJbt1474,Kapankah hari proklamasi kemerdekaan Indonesia ?,17 Agustus,A,IndoQA-Train
5abb2f2f554299232ef4a3d7,Harry Emerson Fosdick dipanggil untuk melayani sebagai pendeta di gereja yang membuka pintu pada tanggal berapa?,5 Oktober 1930,C,Hotpot-Validation
1953_7jguMvfhNu8DiK9_PGm2291,Kapan Ferdinand I secara resmi mengakui pemerintahan Utsmaniyah di Hongaria?,1547,A,IndoQA-Train
32a12a50c5cb4665bc2008efb1b4ad4f,Apakah perdamaian dan stabilitas menjadi faktor kunci terjadinya Revolusi Industri?,Ya,A,IndoQA-Test
2497_yB250Kp0G5hx_qYaSQz1790,Kapanakah pemerintahan revolusioner republik Indonesia berdiri ?,15 Februari,B,IndoQA-Train
1369yQJp8_2a1rn_C3U4Yx8F763,Apa organisasi yang menghimpun seluruh anggota asia tenggara?,ASEAN,A,IndoQA-Test
1768-UuFG072H5O8Xrou6GUN3501,Di distrik manakah Washington DC terletak?,Distrik Columbia,B,IndoQA-Train
5abdb5b455429965af743dfa,"Siapa bintang lain dalam serial televisi Ma Boy yang bekerja dengan aktris Korea Selatan yang memulai karirnya sebagai aktris anak pada tahun 2006 dan awalnya mendapat perhatian publik untuk ""Moon Embracing the Sun"" (2012)?",Sun Woong,C,Hotpot-Validation
209,Siapa yang kalah dan menjadikan hal ini awal mula kebangkitan bangsa Arab untuk menguasai dunia?,Persia,C,QASiNa
5ab42f3c55429942dd415ebc,Apa terjemahan nama sungai yang terletak di Widnes?,batas sungai,C,Hotpot-Validation
1403de07gs-9JpPhLkY3NXmx677,Apa jabatan ayah kartini semenjak kartini lahir?,bupati Jepara,C,IndoQA-Train
5ac0784e554299294b218ff6,"Pengasuhku adalah Vampir yang diciptakan oleh Fresh TV, yang juga menciptakan sitkom animasi Kanada yang pertama di Kanada pada 7 November 2004 di Teletoon?",6teen,C,Hotpot-Validation
25567DWWtABHgq600h7hP6972477,Apa yang dilakukan Hindia Belanda ketika musim hujan?,melakukan gencatan senjata dan berunding,A,IndoQA-Train
1502t95YZwb3DBEc50kzbs112018,NCT dibentuk oleh siapa?,SM Entertainment,A,IndoQA-Train
5a88981c554299206df2b307,Konflik macam apa kesamaan Nathaniel Starbuck dan Bernard Cornwell?,Perang,C,Hotpot-Validation
5ab2be12554299295394686b,Siapa manajer sepak bola yang bermain di Piala Liga Sepak Bola pada tahun 1985 dan berhasil memimpin Birmingham City Football Club musim ke 103 untuk menyelesaikan posisi ke-18?,"Stephen Roger ""Steve"" Bruce",C,Hotpot-Validation
5a7a0e745542990783324e1d,Kapan ayah Henrietta Ponsonby meninggal?,31 Oktober 1783,C,Hotpot-Validation
2467UnCsY0GjqwvnMQVa1CFT1861,Apakah fungsi panitia sembilan ?,untuk merancang Piagam Jakarta yang akan menjadi naskah Pembukaan UUD 1945,B,IndoQA-Train
734OaSkZy1tFRAsQhwXZpw72792,Kapan terjadinya kerusuhan hebat di Jakarta?,14 Mei 1998,B,IndoQA-Train
678fnPwXFeoF4xAuXUNrsuB2931,Film Ikatan Cinta mendapatkan rekor apa?,Museum Rekor Dunia Indonesia,A,IndoQA-Test
2452M0RxlUp6OjeTSq5Ch-3l1892,Apakah fungsi bahasa secara khusus ?,"untuk mengadakan hubungan dalam pergaulan sehari-hari, mewujudkan seni (sastra), mempelajari naskah-naskah kuno, dan untuk mengeksploitasi ilmu pengetahuan dan teknologi",B,IndoQA-Test
1534EqrG2U5ZwhVnfonLjR3v1934,Kapan Lee Je-no diperkenalkan sebagai anggota SM Rookies?,Desember 2013,B,IndoQA-Train
2601GgSIDEnk6OnshxTFVGk-2392,Mengapa Israel berhenti memberikan dana dari hasil pajak?,kucuran dana yang diberikan akan digunakan bagi kegiatan perlawanan terhadap Israel oleh Hamas yang baru saja memenangkan Pemilihan Umum di Palestina,B,IndoQA-Train
709ZYekPZmIHVZUS0oAXArM2856,Pada tahun berapa Soeharto mendapat tugas di luar negeri?,1961,C,IndoQA-Train
13,Siapa yang sangat takut dan mengumpulkan Quraisy agar menyelamatkan rombongannya?,Abu Sufyan,A,QASiNa
5ac0b1835542992a796ded65,"Bordan Tkachuk adalah mantan CEO perusahaan mana, yang menyediakan produk IT?",Viglen,C,Hotpot-Validation
5ab67d2055429954757d3304,"Anjing jenis apa, Labrador Retriever atau Tibet Terrier?",Labrador Retriever,C,Hotpot-Validation
5657UgoubyECldzVKmY9qmK215,Apa nama asal Timor Leste sebelum memisahkan diri dari Indonesia?,Timor Timu,A,IndoQA-Train
5a7ce50f55429909bec76869,"Pada tahun berapa ekolog tanaman Denmark yang membantu seorang ahli kimia Denmark, terkenal karena diperkenalkannya konsep PH mati?",1974,C,Hotpot-Validation
1171djG8ts4fgH31Xh8M8gZK3239,Apa kontribusi besar Habibie ketika masa kepemimpinan Presiden Jokowi?,aktif memberikan masukan dan gagasan pembangunan,B,IndoQA-Train
945tBlPoKsnHp4m96z6_5la566,Apa itu yandex.ru?,"perusahaan teknologi terbesar di Rusia dan mesin pencari terbesar di internet di Rusia, dengan pangsa pasar lebih dari 52%",A,IndoQA-Train
354,Siapakah yang mengurus Muhammad setelah ayah dan ibunya meninggal?,Abdul Muthalib,C,QASiNa
2543Ssn0fF-rADMovcLk6Vwk2503,Pada tanggal berapa Sentot meninggal?,17 April 1855,B,IndoQA-Train
1597PAG3IcxY_I1OtmznEJPB1243,Siapakah anggota yang keluar dari Budi Utomo ?,Cipto Mangunkusumo dan Ki Hadjar Dewantara,A,IndoQA-Test
6810pXzj6X5cQY4449WyWI52924,Siapa yang dicoba selamatkan oleh Jatayu dari cengkeraman Rahwana?,Sinta,B,IndoQA-Train
1182HI-17dsw8VRu8AKL-nGo3209,Berapa lama masa pemerintahan Abu al-Abbas?,dari tahun 750-754 M,A,IndoQA-Train
5a7af8fa55429927d897bf25,"Perhatikan band yang dibentuk tahun 2015 oleh JYP Entertainment melalui reality show ""16teen"" berapa banyak trek yang ada di resual album ketiga mereka?",13,C,Hotpot-Validation
5ab27287554299722f9b4d2c,Yang mana dari papan permainan berikut yang mengakomodasi hingga 10 pemain: Game of Life or the History of the World?,Permainan Kehidupan,C,Hotpot-Validation
1576P214oupErvTP6090GMli1301,Dimanakah Moehammad Yamin menuliskan rumusan sumpah pemuda pertama kali ?,pada secarik kertas,B,IndoQA-Train
7049BWokiTXzBU4iS3lqH3c2871,militer di Indonesia yang didukung oleh jepang bernama?,PETA,C,IndoQA-Test
1636U9fgDPC8e9WhnQASL0AZ1141,Berapakah pertumbuhan Singapura pada tahun 2004 ?,"8,3%",C,IndoQA-Test
